ZoneID,pct_change,location_type
74,15.719689,Outside Zone
164,13.947884,Inside Zone
230,12.985156,Inside Zone
48,11.905754,Inside Zone
50,11.577275,Inside Zone
75,11.071769,Outside Zone
163,10.814798,Inside Zone
237,10.453896,Inside Zone
161,10.408382,Inside Zone
263,9.221899,Inside Zone
100,8.668745,Inside Zone
236,8.665546,Inside Zone
262,8.488006,Inside Zone
143,8.402766,Inside Zone
162,7.0761285,Inside Zone
142,6.6533856,Inside Zone
238,6.119117,Inside Zone
239,4.882283,Inside Zone
43,-2.114937,Inside Zone
